# item	 bepoch	  ecode	            label	      onset	          diff	     dura	b_flags	   a_flags	  enable	    bin
#                                                 (sec)           (msec)     (msec)    (binary)   (binary)


36    	0     	    251	            S251	    350.8430	    599.98	    1.0	    00000000     00000000	   1	[       ]
37    	0     	    203	            S203	    351.0590	    216.00	    1.0	    00000000     00000000	   1	[       ]
38    	0     	    251	            S251	    351.4230	    364.01	    1.0	    00000000     00000000	   1	[       ]
39    	0     	    204	            S204	    351.6430	    220.00	    1.0	    00000000     00000000	   1	[       ]
40    	0     	    251	            S251	    352.0270	    384.00	    1.0	    00000000     00000000	   1	[       ]
41    	0     	    205	            S205	    352.2430	    216.00	    1.0	    00000000     00000000	   1	[ 22  23]
42    	0     	    251	            S251	    352.6510	    407.99	    1.0	    00000000     00000000	   1	[       ]
43    	0     	    208	            S208	    352.8770	    226.01	    1.0	    00000000     00000000	   1	[       ]
44    	0     	    251	            S251	    353.2830	    405.98	    1.0	    00000000     00000000	   1	[       ]
45    	0     	    251	            S251	    353.8550	    572.02	    1.0	    00000000     00000000	   1	[       ]
46    	0     	    251	            S251	    354.4550	    599.98	    1.0	    00000000     00000000	   1	[       ]
47    	0     	    209	            S209	    354.6780	    223.02	    1.0	    00000000     00000000	   1	[       ]
48    	0     	    251	            S251	    355.7950	   1117.00	    1.0	    00000000     00000000	   1	[       ]
49    	0     	    253	            S253	    357.0390	   1243.99	    1.0	    00000000     00000000	   1	[       ]
50    	0     	      9	              S9	    359.7330	   2694.00	    1.0	    00000000     00000000	   1	[       ]
51    	0     	    251	            S251	    360.2950	    562.01	    1.0	    00000000     00000000	   1	[       ]
52    	0     	    251	            S251	    360.9270	    631.99	    1.0	    00000000     00000000	   1	[       ]
53    	0     	    193	            S193	    361.1500	    222.99	    1.0	    00000000     00000000	   1	[       ]
54    	0     	    251	            S251	    361.5110	    360.99	    1.0	    00000000     00000000	   1	[       ]
55    	0     	    251	            S251	    362.0830	    572.02	    1.0	    00000000     00000000	   1	[       ]
56    	0     	    194	            S194	    362.3010	    217.99	    1.0	    00000000     00000000	   1	[       ]
57    	0     	    251	            S251	    362.7710	    470.00	    1.0	    00000000     00000000	   1	[       ]
58    	0     	    195	            S195	    362.9850	    213.99	    1.0	    00000000     00000000	   1	[ 19  20]
59    	0     	    251	            S251	    363.3430	    358.00	    1.0	    00000000     00000000	   1	[       ]
60    	0     	    198	            S198	    363.5690	    226.01	    1.0	    00000000     00000000	   1	[       ]
61    	0     	    251	            S251	    363.8990	    329.99	    1.0	    00000000     00000000	   1	[       ]
62    	0     	    251	            S251	    364.4310	    532.01	    1.0	    00000000     00000000	   1	[       ]
63    	0     	    199	            S199	    364.6530	    222.02	    1.0	    00000000     00000000	   1	[       ]
64    	0     	    251	            S251	    365.0310	    377.99	    1.0	    00000000     00000000	   1	[       ]
65    	0     	    253	            S253	    366.4110	   1380.00	    1.0	    00000000     00000000	   1	[       ]
66    	0     	     89	             S89	    369.9740	   3562.99	    1.0	    00000000     00000000	   1	[       ]
67    	0     	    251	            S251	    370.4590	    485.02	    1.0	    00000000     00000000	   1	[       ]
68    	0     	    251	            S251	    371.1470	    687.99	    1.0	    00000000     00000000	   1	[       ]
69    	0     	    144	            S144	    371.3750	    228.00	    1.0	    00000000     00000000	   1	[      8]
70    	0     	    251	            S251	    371.8550	    480.01	    1.0	    00000000     00000000	   1	[       ]
71    	0     	    146	            S146	    372.0760	    220.98	    1.0	    00000000     00000000	   1	[      2]
72    	0     	    251	            S251	    372.4190	    343.02	    1.0	    00000000     00000000	   1	[       ]
73    	0     	    148	            S148	    372.6430	    224.00	    1.0	    00000000     00000000	   1	[       ]
74    	0     	    251	            S251	    373.0310	    388.00	    1.0	    00000000     00000000	   1	[       ]
75    	0     	    251	            S251	    373.6270	    596.01	    1.0	    00000000     00000000	   1	[       ]
